ID;TERMS (PT-NPT);RELATIONS;PT;MT
3402;Anguilla;;;7241 ţări şi teritorii străine
1983;Antarctica;;;5211 mediul înconjurător natural
3401;Antigua;USE;Antigua și Barbuda;7216 America
3401;Antigua;USE;Antigua și Barbuda;7231 geografie economică
3401;Antigua;USE;Antigua și Barbuda;7236 geografie politică
3401;Antigua și Barbuda;;;7216 America
3401;Antigua și Barbuda;;;7231 geografie economică
3401;Antigua și Barbuda;;;7236 geografie politică
1180;Antilele Mari;;;7216 America
2362;Antilele Mici;;;7216 America
2042;Antilele Olandeze;;;7216 America
4698;Antiope;USE;videografie difuzată;3226 comunicaţii
2070;Anzus;;;7621 organizaţii mondiale
2570;Apulia;;;7211 regiuni ale statelor membre ale Uniunii Europene
2336;Arabia Saudită;;;7226 Asia şi Oceania
2336;Arabia Saudită;;;7231 geografie economică
2336;Arabia Saudită;;;7236 geografie politică
8517;Arad;;;7211 regiuni ale statelor membre ale Uniunii Europene
2354;Aragon;;;7211 regiuni ale statelor membre ale Uniunii Europene
5495;Aranjamentul de la Wassenaar;;;7621 organizaţii mondiale
2503;Arctica;;;5211 mediul înconjurător natural
2525;Argentina;;;7216 America
2525;Argentina;;;7231 geografie economică
2525;Argentina;;;7236 geografie politică
8521;Argeș;;;7211 regiuni ale statelor membre ale Uniunii Europene
5445;Armenia;;;7206 Europa
5445;Armenia;;;7236 geografie politică
2820;Aruba;;;7216 America
2820;Aruba;;;7241 ţări şi teritorii străine
2838;Asia;;;7226 Asia şi Oceania
5448;Asia Centrală;;;7226 Asia şi Oceania
956;Asia Orientală;USE;Orientul Îndepărtat;7226 Asia şi Oceania
2848;Asia de Sud;;;7226 Asia şi Oceania
2858;Asia de Sud-Est;;;7226 Asia şi Oceania
5446;Asociația Asia de Sud pentru Cooperare Regională;;;7616 organizaţii extraeuropene
421;Asociația Europeană a Centrelor Naționale de Productivitate;;;7611 organizaţii europene
168;Asociația Europeană a Institutelor de Cercetare și Formare în Dezvoltare;USE;EADI;7611 organizaţii europene
168;Asociația Europeană a Institutelor de Cercetare și Formare în Dezvoltare;USE;EADI;7626 organizaţii neguvernamentale
176;Asociația Europeană a Liberului Schimb;USE;AELS;7611 organizaţii europene
4046;Asociația Europeană pentru Cooperare;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
1044;Asociația Internațională a Securității Sociale;;;7626 organizaţii neguvernamentale
703;Asociația Internațională de Dezvoltare;;;7606 ONU
3853;Asociația Internațională pentru Transport Aerian;USE;IATA;7626 organizaţii neguvernamentale
1094;Asociația Latino Americană de Integrare;USE;ALADI;7616 organizaţii extraeuropene
1094;Asociația Latino-Americană a Liberului Schimb;USE;ALADI;7616 organizaţii extraeuropene
1094;Asociația Latino-Americană de Comerț Liber;USE;ALADI;7616 organizaţii extraeuropene
5264;Asociația Liberului Schimb a Caraibelor;USE;Caricom;7616 organizaţii extraeuropene
1838;Asociația Națiunilor din Asia de Sud-Est;USE;ASEAN;7616 organizaţii extraeuropene
7415;Asociația Statelor din Caraibe;;;7616 organizaţii extraeuropene
3822;Asturias;USE;Principatul Asturias;7211 regiuni ale statelor membre ale Uniunii Europene
2110;Atlantic;USE;Oceanul Atlantic;5211 mediul înconjurător natural
7889;Attica;;;7211 regiuni ale statelor membre ale Uniunii Europene
4160;Australia;;;7226 Asia şi Oceania
4160;Australia;;;7231 geografie economică
4160;Australia;;;7236 geografie politică
4353;Austria;;;7206 Europa
4353;Austria;;;7231 geografie economică
4353;Austria;;;7236 geografie politică
6194;Austria Inferioară;;;7211 regiuni ale statelor membre ale Uniunii Europene
6195;Austria Superioară;;;7211 regiuni ale statelor membre ale Uniunii Europene
7927;Autoritatea Europeană pentru Protecția Datelor;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
7126;Autoritatea Europeană pentru Siguranță Alimentară;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_047e5912;Autoritatea bancară europeană;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
176;Autoritatea de Supraveghere a AELS;USE;AELS;7611 organizaţii europene
c_f5ed5adb;Autoritatea europeană pentru asigurări și pensii ocupaționale;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
c_96124aaf;Autoritatea europeană pentru valori mobiliare și piețe;;;1006 Instituțiile Uniunii Europene și funcția publică europeană
4364;Auvergne;;;7211 regiuni ale statelor membre ale Uniunii Europene
c_0a700c19;Auvergne-Ron-Alpi;;;7211 regiuni ale statelor membre ale Uniunii Europene
2140;Avocatul Poporului Comunitatea Europeană;USE;Ombudsmanul European;1006 Instituțiile Uniunii Europene și funcția publică europeană
5454;Azerbaidjan;;;7206 Europa
5454;Azerbaidjan;;;7236 geografie politică
5076;Azore;;;7211 regiuni ale statelor membre ale Uniunii Europene
6336;BAD;USE;Banca Asiatică de Dezvoltare;7616 organizaţii extraeuropene
4744;BAfD;USE;Banca Africană de Dezvoltare;7616 organizaţii extraeuropene
